13445355398|883231
13431123259|961179
13244556157|826579
13220431636|67665
133186178|597452
13433942310|681068
13792742868|296882
136064119|880878
13795886035|20637
13280150528|105009
13107546779|319072
13342048302|336848
13947584983|584765
13674486179|216978
13248420202|354426
13450233265|870687
13114521661|520558
13194528129|385581
13884809203|656497
13125814536|315335
13184176448|798024
1349609000|359016
13424188095|801144
13434340247|512411
13882743262|229909
13797964863|610576
13352503126|227993
13501602697|729259
13284094095|714556
13413761857|850039
13492859591|750225
13432150240|780504
13324431297|520800
13630774551|441852
13906401026|365696
13731156339|212242
13205728378|1862
13878286589|588367
1369329528|584606
13975243383|517632
13719956599|983057
13100859177|948163
13609219763|508299
13144277191|77304
1333341039|397541
undefined|undefined
undefined|undefined
13855844320|784872
13690223303|895719
13664369157|936689
13881478207|660947
13946542433|859830
13763812587|690583
13896175254|315284
13138876175|963040
13725969915|209940
13121081517|609216
13945904907|636721
13948298722|270556
13994634617|899472
13348738408|657185
1358012515|406292
1399217335|921535
13234368252|139678
13317638917|125079
13883237982|254702
1366421606|902302
13724840673|303350
13692756581|181822
13338139867|315628
13289709007|808880
13985293570|510637
13841965993|652336
13700706227|620561
13321274564|114563
13795649290|37087
13980947518|170928
1375169192|246978
13739939778|603529
13460494371|444062
13234377074|253626
13250409633|534778
13967382214|954636
13348532867|807447
13862775393|811984
13101039379|422928
13173770566|498312
13108460807|803035
13677263817|986140
13844590571|703265
13562695001|44368
13599803943|600469
13968634251|459321
1332418939|839770
1362972258|130453
13581289741|558252
13930239574|113774
13683418096|832094
13988181574|360240
13657474368|247710
undefined|undefined
13922057347|810264
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
13291223587|501016
13659727521|23586
13421871875|153366
13606919139|176955
1345689727|594955
13637551408|75454
13376123542|247728
13852761148|958449
13337707849|934217
13373886925|913158
13764196391|13710
13212693937|304847
13300038017|472616
13773844673|228489
13926942882|828077
13186083044|665582
13341293832|327386
13393661554|779448
1365389197|518796
13719529483|239643
13148109184|375352
13295466768|914171
13696828625|241528
13675232512|212822
13858716512|771774
13771362929|11043
13723135478|282989
13860073377|260236
13101729670|882360
1333825190|475133
13339680366|266647
13799588109|487243
13254610114|668674
1356058782|879218
13308551137|199572
1374902678|270245
1327917464|823537
13802039028|642274
13264317443|329100
13327737259|753575
13958632206|389902
13940573393|704055
13907637777|891982
13184408692|245933
13951006606|756664
13662266333|711011
13907351957|801550
1358966692|695979
13503459059|58715
1384938938|757687
13407565491|583126
13257257123|54584
13162026521|127423
13705871672|637784
13306829378|951151
13437683507|167288
13412565793|861113
13210341486|87002
13443443187|835087
13930768425|409274
13271887705|861507
13261802329|60862
1394270741|888667
13265330970|13397
13615323368|237355
13363860888|418162
13634989866|979306
13460983318|901178
13862256263|842516
13577178459|789464
13271301303|96582
13454016796|365427
13845946910|363026
13426239550|657851
13350043319|265899
13449705299|632007
13234710731|766206
13910360062|466871
13237445705|345243
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
13731979544|787549
13166674489|102040
13649120656|336684
13865204002|803985
13155297004|760364
13208843101|711079
13262385456|950423
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
undefined|undefined
